,Date,Actual,ARIMA,LSTM,SARIMA,NBEATS,SHIFT,PROPHET
0,2019-09-01,0,0.0,118054.0390625,5.97e-53,46.86797096,0,0.0
1,2019-10-01,0,29633.8005,101327.34375,2.33e-53,46.86797096,0,731973.777
2,2019-11-01,185232,0.0,101327.34375,0.0,46.86797096,0,1133179.442
3,2019-12-01,387226,155406.154,168555.234375,1613.076795,100983.6189,185232,81696.75074
4,2020-01-01,445992,331899.8151,330250.46875,290228.7174,488111.2052,387226,416110.76
5,2020-02-01,234586,529369.867,508346.4375,422019.9251,651353.3909,445992,0.0
6,2020-03-01,0,289038.9664,423288.625,301583.1579,64567.40981,234586,0.0
7,2020-04-01,0,63643.52277,127813.265625,124.8656994,8194.186048,0,0.0
8,2020-05-01,0,0.0,0.0,0.0,21138.54069,0,0.0
9,2020-06-01,0,4331.416643,37428.78515625,0.0,34639.05171,0,0.0
10,2020-07-01,0,0.0,128927.09375,1.9699999999999998e-48,46.86797096,0,0.0
11,2020-08-01,0,3734.471417,143241.546875,7.7e-49,46.86797096,0,0.0
12,2020-09-01,0,0.0,101327.34375,0.0,46.86797096,0,0.0
13,2020-10-01,0,3265.124736,101327.34375,0.0,46.86797096,0,281413.8343
14,2020-11-01,0,0.0,101327.34375,3.14e-97,46.86797096,0,935814.454
15,2020-12-01,0,2885.386506,101327.34375,1.2300000000000001e-97,46.86797096,0,0.0
16,2021-01-01,288831,0.0,101327.34375,0.0,46.86797096,0,235894.0482
17,2021-02-01,0,231769.6291,206322.265625,2114.497155,157459.2199,288831,537886.4881
18,2021-03-01,68946,69707.14767,237692.828125,135.5315001,76189.23252,0,424161.5931
19,2021-04-01,0,155933.6991,168787.40625,883.1970262,41044.17755,68946,292634.2064
20,2021-05-01,0,0.0,81403.1875,76.97696436,25176.95957,0,410355.7505
21,2021-06-01,0,232387.7625,72914.09375,0.0,912.3134181,0,348893.2913
22,2021-07-01,0,0.0,138016.875,0.0,10184.05409,0,477609.5782
23,2021-08-01,867367,238557.7711,94773.671875,1.7799999999999998e-48,46.86797096,0,1389202.065
24,2021-09-01,304174,467997.4408,427729.59375,4131.708551,472840.3366,867367,887090.536
25,2021-10-01,1145771,665768.4343,933306.875,458214.5206,1116120.658,304174,1744548.604
26,2021-11-01,2474810,1090940.7,1119320.625,682148.22,1780927.122,1145771,1968679.402
27,2021-12-01,1368339,1898643.777,1653777.375,1831331.134,1381248.318,2474810,1336236.798
28,2022-01-01,1859420,2295548.142,1839983.125,1725132.774,1798037.238,1368339,1939842.955
29,2022-02-01,636163,1612363.337,1225881.125,1649300.148,705084.0558,1859420,485265.3167
30,2022-03-01,0,563175.2128,618208.125,967631.7331,45511.86454,636163,740109.4761
31,2022-04-01,37834,587712.6529,290265.0625,184.9189384,89728.09881,0,261104.9422
32,2022-05-01,61956,0.0,79164.6484375,612.5305986,102380.9378,37834,704782.9777
33,2022-06-01,194090,735105.8427,0.0,51088.86617,159831.8973,61956,284187.7337
34,2022-07-01,211424,0.0,84583.6328125,124190.4445,185614.2315,194090,711239.8036
35,2022-08-01,2862624,829194.8744,329645.8125,204468.9548,337334.0079,211424,2091839.248
36,2022-09-01,1619857,1813898.041,1759698.0,1033428.141,1732087.866,2862624,1156548.015
37,2022-10-01,4110695,2472880.624,3795133.75,2023818.715,4172929.756,1619857,2499413.408
38,2022-11-01,3646692,4135854.335,3101948.5,2856083.234,3778143.52,4110695,2268955.941
39,2022-12-01,1627818,2804717.804,2075432.75,3821541.282,1600949.797,3646692,1970242.836
40,2023-01-01,2220878,3958451.306,1682587.375,2231404.219,348502.48,1627818,2965307.671
41,2023-02-01,2666227,377758.0165,1496807.125,280923.7515,639736.2988,2220878,0.0
42,2023-03-01,1277384,2970973.02,1375434.625,372466.044,669727.4745,2666227,747689.2569
43,2023-04-01,0,2030906.374,1161195.0099551675,292131.2618,200791.268,1277384,467786.476
44,2023-05-01,0,466632.6627,0.0,216.8347946,68180.81259,0,847802.9601
45,2023-06-01,0,0.0,83477.29519622399,0.0,123917.6284,0,322766.0742
46,2023-07-01,0,0.0,0.0,0.0,188597.1694,0,792862.5553
47,2023-08-01,181340,27876.13392,401449.4839410856,441.1306476,46.86797096,0,2391319.937
48,2023-09-01,186794,128942.9974,534853.1053418666,24253.76678,98861.94746,181340,1216325.897
49,2023-10-01,1156219,185637.2501,314813.42051666224,26257.59561,391755.0885,186794,2711392.027
50,2023-11-01,1159589,936071.6557,1365890.1373606918,91611.19781,847896.4894,1156219,2067624.169
51,2023-12-01,1273674,1160338.473,1708235.5430364606,100759.0664,2181006.396,1159589,1642597.54
52,2024-01-01,2413554,1420658.862,1721048.8042099772,117035.4278,837403.8981,1273674,2257186.824
53,2024-02-01,527737,2107782.592,1288643.780596256,196496.0961,1044085.964,2413554,0.0
