,Date,Actual,ARIMA,LSTM,SARIMA,NBEATS,SHIFT,PROPHET,ENSEMBLE
0,2023-01-01,2220878,3958451.306,1682587.375,2231404.219,348502.48,1627818,2965307.671,2685560.02
1,2023-02-01,2666227,377758.0165,1496807.125,280923.7515,639736.2988,2220878,0.0,647249.72
2,2023-03-01,1277384,2970973.02,1375434.625,372466.044,669727.4745,2666227,747689.2569,1859566.36
3,2023-04-01,0,2030906.374,1161195.0099551675,292131.2618,200791.268,1277384,467786.476,1431480.88
4,2023-05-01,0,466632.6627,0.0,216.8347946,68180.81259,0,847802.9601,237048.38
5,2023-06-01,0,0.0,83477.29519622399,0.0,123917.6284,0,322766.0742,32891.64
6,2023-07-01,0,0.0,0.0,0.0,188597.1694,0,792862.5553,122120.12
7,2023-08-01,181340,27876.13392,401449.4839410856,441.1306476,46.86797096,0,2391319.937,1240904.64
8,2023-09-01,186794,128942.9974,534853.1053418666,24253.76678,98861.94746,181340,1216325.897,423163.68
9,2023-10-01,1156219,185637.2501,314813.42051666224,26257.59561,391755.0885,186794,2711392.027,982160.12
10,2023-11-01,1159589,936071.6557,1365890.1373606918,91611.19781,847896.4894,1156219,2067624.169,1401647.36
11,2023-12-01,1273674,1160338.473,1708235.5430364606,100759.0664,2181006.396,1159589,1642597.54,1672311.02
12,2024-01-01,2413554,1420658.862,1721048.8042099772,117035.4278,837403.8981,1273674,2257186.824,2084443.26
13,2024-02-01,527737,2107782.592,1288643.780596256,196496.0961,1044085.964,2413554,0.0,1041681.68
